size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.39907,0.261408,0.013184,5.32029,65.4429
20000000,1024,6.48349,0.497024,0.0184,8.7159,68.6455
30000000,1024,9.66973,0.725632,0.017632,12.1832,78.8109
40000000,1024,12.8884,0.955968,0.017728,16.8013,80.079
50000000,1024,16.0762,1.18538,0.018016,19.1607,80.9226
60000000,1024,19.2916,1.41558,0.017792,23.7192,84.4687
70000000,1024,22.5022,1.64634,0.018976,56.2561,147.048
80000000,1024,25.7168,1.87405,0.018656,30.9499,127.658
90000000,1024,28.9122,2.1049,0.019744,35.2437,125.54
100000000,1024,32.1122,2.33235,0.019808,37.7366,137.942
