size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.2987953333333326,0.1712860444444445,3.1737828888888893,11.401979777777777,84.2253977777778,3.566596,0.2949603555555556,0.010547200000000001,5.567178666666668,5.575411333333333,6.514796222222222,0.2252316444444444,3.146976,13.810348888888893,13.818777777777774
20000000,1024,6.487116444444444,0.32418559999999996,6.268141555555554,18.62087777777778,91.03101333333335,7.650639333333335,0.5791516444444446,0.01023715555555556,12.060418222222223,12.068819555555551,12.913984444444445,0.4437866666666668,6.232057333333335,24.906324444444444,24.914888888888896
30000000,1024,9.686058888888889,0.47110186666666676,9.338059333333335,25.21076444444444,94.89706666666666,12.996264444444442,1.1182685333333333,0.010856533333333331,17.52052666666667,17.529317777777774,20.024655555555555,0.6547704888888888,9.342780444444443,34.79130666666668,34.800397777777775
40000000,1024,12.897233333333332,0.6169777777777778,12.430395555555556,31.93657333333334,109.8689911111111,18.853011111111105,1.6199624444444454,0.011598933333333337,27.280182222222216,27.28906,27.231746666666666,0.8677212444444444,12.451199999999996,47.197780000000016,47.207297777777775
50000000,1024,16.105546666666672,0.7655779555555553,15.510193333333337,41.91928222222223,117.37082666666667,22.232346666666665,1.7096977777777775,0.011362133333333335,27.019071111111113,27.027813333333345,34.00256666666666,1.0919797777777782,15.538226666666668,57.09369777777777,57.10331111111111
60000000,1024,19.28550888888889,0.9199694222222223,18.5827,45.06162666666667,118.10835555555556,26.105535555555555,1.8989380000000002,0.01111751111111111,32.66869555555556,32.677422222222226,39.86608666666666,1.3174633333333337,18.60650666666667,66.43971555555554,66.44847555555556
70000000,1024,22.516637777777778,1.070418888888889,21.670935555555555,49.59990222222223,127.48711111111108,29.77995555555555,2.1051339999999996,0.0117696,38.146346666666666,38.155231111111114,46.48717777777778,1.535982666666667,21.730284444444447,75.79643333333334,75.80516444444444
80000000,1024,25.69034222222222,1.2231986666666665,24.764308888888895,61.203959999999995,137.00706666666667,34.43078222222221,2.28765,0.012023466666666668,40.76563555555555,40.77435555555556,53.36022888888886,1.757961111111111,24.79966444444445,87.28888666666666,87.29744666666666
90000000,1024,28.884593333333335,1.3718671111111114,27.826568888888882,67.63042444444446,142.7313111111111,39.051002222222216,2.5667513333333334,0.011992888888888888,45.43927777777777,45.44797555555555,60.21473777777776,1.976780222222222,27.938024444444444,97.20978222222222,97.21815777777775
100000000,1024,32.09317555555556,1.523161333333333,30.91510222222222,71.9292688888889,150.95744444444443,43.67858666666666,2.8513926666666665,0.011731911111111113,52.17487333333335,52.18358222222223,67.22818888888888,2.197235555555556,31.020471111111117,107.91388888888889,107.92226666666666
